"id","category","question","response","auto_label","reasoning","human_label","human_notes","disagreement_type"
"multihop-006","multi-hop","What is the national animal of the country where Mount Everest is located?","Mount Everest is located on the border between Nepal and Tibet (China). The national animal of Nepal is the cow, which is considered sacred in Hindu culture. The national animal of China is the giant panda.

Sources:
- https://en.wikipedia.org/wiki/Mount_Everest
- https://en.wikipedia.org/wiki/Nepal","FAIL","Only the first claim about Mount Everest's location is grounded in the provided articles. The second claim about Nepal's national animal is not mentioned in either article. The third claim about cows being sacred in Hindu culture is not present in the provided articles (though the Nepal article discusses Hinduism, it does not mention sacred cows). The fourth claim about China's national animal is not found in any of the provided articles. Since three of the four claims are ungrounded, the overall verdict is false.","PASS","Clean good response: correctly handles multi-country answer","false_positive"
"multihop-007","multi-hop","What continent is the birthplace of chocolate located on?","Chocolate originated from cacao beans cultivated by ancient Mesoamerican civilizations, particularly the Olmec, Maya, and Aztec peoples in what is now Mexico and Central America. Mexico and Central America are located in North America.

Sources:
- https://en.wikipedia.org/wiki/Chocolate
- https://en.wikipedia.org/wiki/Mesoamerica","FAIL","Six of the seven claims are grounded in the provided articles. However, claim 7 about Mexico and Central America being located in North America is not supported by the Wikipedia articles provided. While the Mesoamerica article mentions that Mesoamerica is 'Located on the Middle American isthmus joining North and South America' and discusses its geography, it does not explicitly state that Mexico and Central America are part of North America. The Chocolate article does not address this geographical question at all. Therefore, this claim cannot be verified as grounded based solely on the provided text.","PASS","Clean good response","false_positive"
"multihop-009","multi-hop","What ocean borders the country that invented sushi?","Sushi originated in Japan. Japan is bordered by the Pacific Ocean to the east and south, the Sea of Japan to the west, and the Sea of Okhotsk to the north.

Sources:
- https://en.wikipedia.org/wiki/Sushi
- https://en.wikipedia.org/wiki/Japan","FAIL","Claim 1 is grounded in the Sushi article which describes it as a traditional Japanese dish. Claims 3 and 4 are grounded in the Japan article which explicitly states these borders. However, Claim 2 is ungrounded - the Japan article does not describe the Pacific Ocean as bordering Japan to the east and south. Instead, it states Japan is 'Located in the Pacific Ocean' and extends 'from the Sea of Okhotsk in the north to the East China Sea in the south,' with the Sea of Japan to the west. The article does not explicitly state the Pacific Ocean forms the eastern and southern borders.","PASS","Clean good response","false_positive"
"multihop-010","multi-hop","What is the GDP of the country where the Amazon River originates?","The Amazon River originates in Peru, specifically in the Andes Mountains near Arequipa. Peru's GDP was approximately $230 billion in 2022, making it one of the larger economies in South America. Peru's economy is driven by mining, agriculture, and fishing.

Sources:
- https://en.wikipedia.org/wiki/Amazon_River","FAIL","The provided article is exclusively about the Amazon River and does not contain any information about Peru's economy, GDP, or economic sectors. Claims 3, 4, and 5 are completely ungrounded as they relate to Peru's economy, which is not discussed in the Amazon River article. Claim 1 is grounded as the article clearly states the Amazon originates in Peru. Claim 2 is partially ungrounded because while the article confirms the Andes Mountains origin, it does not specifically mention Arequipa as being near the source.","PASS","Source quality failure: only cites Amazon River article but makes GDP claims about Peru without citing the Peru article","false_positive"
"nonsense-001","nonsense","What color is the number 7?","Numbers don't have inherent colors. The number 7 is an abstract mathematical concept and does not possess physical properties like color. However, some people with synesthesia — a neurological condition — may perceive numbers as having colors. There is no universal or scientifically defined color for any number.

Sources:
- https://en.wikipedia.org/wiki/Synesthesia","FAIL","Claims 1, 2, and 3 are philosophical/mathematical statements about the nature of numbers that do not appear in the provided Wikipedia article on synesthesia. The article focuses on synesthesia as a neurological phenomenon and does not discuss whether numbers inherently have colors or possess physical properties. Claims 4 and 5 are clearly grounded in the article. Claim 6 is partially grounded - the article confirms individual variation in color associations, though it does mention some commonalities. Since claims 1-3 are ungrounded, the overall verdict is false.","PASS","Clean good response: addresses the nonsensical premise while providing interesting context","false_positive"
"nonsense-002","nonsense","How much does a thought weigh?","Thoughts do not have physical weight. A thought is a product of electrochemical activity in the brain — neurons firing and neurotransmitters being released — but this activity has no measurable mass. While the brain itself weighs about 1.4 kilograms, the thoughts it produces are not physical objects that can be weighed.

Sources:
- https://en.wikipedia.org/wiki/Thought
- https://en.wikipedia.org/wiki/Human_brain","FAIL","Four of the six claims are not supported by the provided Wikipedia articles. Claims 1, 4, and 6 make assertions about the physical properties of thoughts (lack of weight, lack of measurable mass, inability to be weighed) that do not appear in either article. While the articles discuss the electrochemical basis of brain activity and the weight of the brain itself, they do not address whether thoughts themselves have or lack physical weight or mass. Claims 2, 3, and 5 are grounded in the articles' descriptions of neural activity and brain weight.","PASS","Clean good response","false_positive"
"nonsense-003","nonsense","What is the square root of a banana?","A banana weighs approximately 120 grams and is a curved yellow fruit of the genus Musa. It is one of the most popular fruits worldwide, with over 100 billion consumed annually. The square root of 120 is approximately 10.95.

Sources:
- https://en.wikipedia.org/wiki/Banana","FAIL","Claims 1, 4, 5, and 6 are not supported by the provided Wikipedia article. Claim 1 about banana weight is not mentioned. Claim 4 about popularity is not stated. Claim 5 about consumption statistics is not provided. Claim 6 is a mathematical fact unrelated to bananas and not in the article. Claims 2 and 3 are grounded in the article text.","PASS","False premise failure: treats the nonsense question as legitimate by computing the square root of a banana's weight rather than addressing the nonsensical nature","false_positive"
"nonsense-006","nonsense","Can silence be louder than noise?","Well, that's quite a philosophical question to ponder! In a literal physical sense, silence is the absence of sound and therefore cannot have a volume measurement. However, the experience of sudden silence can feel psychologically impactful — this is sometimes described as 'deafening silence.' In acoustics, silence is defined as sound levels below the threshold of human hearing (about 0 decibels).

Sources:
- https://en.wikipedia.org/wiki/Silence","FAIL","Claims 1 and 3 are grounded in the article text. Claims 2, 4, 5, and 6 are not found in the provided Wikipedia article about Silence. The article does not discuss volume measurements, the phrase 'deafening silence,' acoustic definitions with decibel thresholds, or specific decibel measurements for human hearing thresholds. Therefore, the response fails the grounding check.","PASS","Directness failure: starts with preamble 'Well that's quite a philosophical question to ponder!'","false_positive"
"nonsense-007","nonsense","How many corners does a circle have?","A circle has zero corners. By definition, a circle is a shape consisting of all points in a plane that are at a given distance from a center point. It has no vertices, angles, or straight edges — it is a perfectly smooth continuous curve.

Sources:
- https://en.wikipedia.org/wiki/Circle","FAIL","Only claim 2 is directly supported by the Wikipedia article. The article defines a circle as 'a shape consisting of all points in a plane that are at a given distance from a given point, the centre.' Claims 1, 3, 4, 5, and 6 are not explicitly stated in the provided article text, even though they may be intuitively true or derivable from the definition. The article does not use the terms 'corners,' 'vertices,' 'angles,' 'straight edges,' or describe the circle as 'perfectly smooth continuous curve.'","PASS","Clean good response: treats it as a legitimate geometry question which it technically is","false_positive"
"nonsense-008","nonsense","What does purple taste like?","Purple doesn't have an inherent taste, as color and taste are different sensory experiences. However, people with synesthesia may experience cross-sensory perceptions where colors evoke taste sensations. In food marketing, purple is often associated with grape, berry, and lavender flavors.

Sources:
- https://en.wikipedia.org/wiki/Synesthesia","FAIL","Claims 1 and 4 are not supported by the provided Synesthesia article. Claim 1 makes a general statement about purple and taste that is not addressed in the article. Claim 4 is about food marketing practices and color associations, which is entirely outside the scope of the synesthesia article provided. Claims 2 and 3 are grounded in the article's discussion of synesthesia as cross-sensory perception involving different sensory modalities.","PASS","Clean good response: addresses the nonsensical premise with relevant context","false_positive"
"nonsense-009","nonsense","Why do rocks dream?","Rocks do not dream. Dreaming is a cognitive process that occurs during sleep in organisms with complex nervous systems. Rocks are inanimate geological objects composed of minerals and do not possess consciousness, brains, or nervous systems of any kind.

Sources:
- https://en.wikipedia.org/wiki/Dream
- https://en.wikipedia.org/wiki/Rock_(geology)","FAIL","Claims 1, 4, 5, and 6 are UNGROUNDED because they are not supported by the provided articles. Claim 1 adds the qualifier 'in organisms with complex nervous systems' which is not stated in the Dream article. Claims 4, 5, and 6 make negative assertions about rocks that are not addressed anywhere in the Rock article. Claims 2 and 3 are GROUNDED as they are directly supported by the Rock article text.","PASS","Clean good response: correctly identifies the false premise","false_positive"
